,P1_BUTTONA,P1_BUTTONB,P1_BUTTONC,P1_BUTTONX,P1_BUTTONY,P1_BUTTONZ,P1_START,P2_BUTTONA,P2_BUTTONB,P2_BUTTONC,P2_BUTTONX,P2_BUTTONY,P2_BUTTONZ,P2_START,MENU
2048,,,,,,,White,,,,,,,,Green
3do,Red,Red,Red,Blue,Blue,Blue,White,Red,Red,Red,Blue,Blue,Blue,White,Green
64dd,Blue,Green,White,White,White,White,White,Blue,Green,White,White,White,White,White,Green
all,Blue,Blue,Blue,Blue,Blue,Blue,White,Red,Red,Red,Red,Red,Red,White,Green
amiga1200,Red,Red,,,,,White,Red,Red,,,,,White,Green
amiga500,Red,Red,,,,,White,Red,Red,,,,,White,Green
amiga600,Red,Red,,,,,White,Red,Red,,,,,White,Green
amigacd32,Red,Blue,,Green,Yellow,,White,Red,Blue,,Green,Yellow,,White,Green
amigacdtv,Red,Red,,,,,White,Red,Red,,,,,White,Green
amstradcpc,Red,Red,,,,,White,Red,Red,,,,,White,Green
apple2,Orange,Orange,,,,,White,Orange,Orange,,,,,White,Green
apple2gs,White,White,,,,,White,White,White,,,,,White,Green
arcade,Blue,Blue,Blue,Blue,Blue,Blue,Blue,White,White,White,White,White,White,White,Green
atari2600,Red,,,,,,White,Red,,,,,,White,Green
atari5200,Red,Red,,Red,Red,,White,Red,Red,,Red,Red,,White,Green
atari7800,Red,Red,,,,,White,Red,Red,,,,,White,Green
atari800,Red,,,,,,White,Red,,,,,,White,Green
atarist,Red,Red,,,,,White,Red,Red,,,,,White,Green
atomiswave,Green,Green,Green,Green,Green,Green,Green,Red,Red,Red,Red,Red,Red,Red,Green
c128,Red,Red,,,,,Red,,,,,,,White,Green
c20,Red,,,,,,White,Red,,,,,,White,Green
c64,Red,Red,,,,,White,Red,Red,,,,,White,Green
cavestory,Blue,Red,White,,,White,Blue,,,,,,,,Green
ccbm,Red,,,,,,White,Red,,,,,,White,Green
channelf,Red,,,,,,White,Red,,,,,,White,Green
colecovision,Red,Red,,,,,White,Red,Red,,,,,White,Green
collections,Red,Red,,,,,White,Red,Red,,,,,White,Green
cpet,Red,Red,,,,,White,Red,Red,,,,,White,Green
cplus,Red,Red,,,,,White,Red,Red,,,,,White,Green
daphne,Red,,,,,,White,,,,,,,White,Green
dinothawr,Red,White,,,,,Red,,,,,,,,Green
doom,Red,Red,Red,Red,Red,Red,Red,,,,,,,,Green
doom2,Blue,Blue,Blue,Blue,Blue,Blue,Blue,,,,,,,,Green
dos,Red,Red,,,,,White,Red,Red,,,,,White,Green
